Student_ID,Age,Gender,Grade_Level,Field_of_Study,Usage_of_VR_in_Education,Hours_of_VR_Usage_Per_Week,Engagement_Level,Improvement_in_Learning_Outcomes,Subject,Instructor_VR_Proficiency,Perceived_Effectiveness_of_VR,Access_to_VR_Equipment,Impact_on_Creativity,Stress_Level_with_VR_Usage,Collaboration_with_Peers_via_VR,Feedback_from_Educators_on_VR,Interest_in_Continuing_VR_Based_Learning,Region,School_Support_for_VR_in_Curriculum
0,13,2,1,6,0,6,1,1,2,2,3,1,5,0,0,1,0,5,0
1,16,2,2,5,0,6,1,1,5,1,2,1,3,1,1,2,0,4,0
2,15,3,0,6,0,4,5,1,0,0,5,1,2,1,1,1,1,4,0
3,24,0,1,3,1,2,4,0,3,1,5,0,3,0,0,1,0,2,1
4,22,2,2,0,1,10,3,0,0,1,4,1,1,2,0,0,1,3,1
5,28,1,0,6,1,10,5,0,3,2,1,1,1,1,0,1,0,1,1
6,19,1,2,1,1,9,4,1,4,2,4,1,5,2,1,1,0,3,1
7,19,1,0,2,0,1,5,0,6,1,5,1,2,1,0,1,1,4,0
8,29,2,2,4,1,0,2,1,2,1,2,0,2,0,1,2,1,1,0
9,16,3,1,3,1,10,5,1,0,1,4,0,1,2,1,2,1,0,0
10,26,1,0,1,0,10,1,1,5,2,3,1,1,1,0,2,0,0,1
11,15,2,2,0,1,5,1,1,5,1,1,0,4,1,0,0,0,4,0
12,22,1,0,1,0,2,5,1,0,1,1,1,2,2,0,0,1,3,1
13,27,0,1,1,0,9,5,0,3,2,3,0,3,2,0,1,0,4,0
14,21,3,2,4,1,2,2,1,5,2,2,1,3,2,0,2,1,3,1
15,18,0,1,4,1,3,1,1,0,1,5,0,1,0,1,2,0,4,0
16,28,2,2,5,0,9,1,1,1,1,4,1,3,1,1,2,0,5,1
17,18,0,0,1,1,10,1,0,3,0,4,1,5,2,1,0,0,2,0
18,16,0,0,4,0,4,3,1,3,0,5,0,4,0,0,1,1,3,1
19,16,0,0,2,1,8,3,1,6,2,1,0,3,2,1,0,0,2,1
20,24,2,0,1,1,8,3,0,3,1,2,1,4,1,0,2,1,4,1
21,16,0,1,5,0,9,3,1,1,2,3,0,2,1,0,1,0,3,1
22,27,3,0,0,1,9,3,1,1,0,1,0,5,0,0,1,1,0,0
23,17,2,2,3,1,4,3,1,2,2,5,1,1,2,1,0,0,4,1
24,16,2,2,2,1,7,4,0,5,0,1,0,5,2,1,1,0,2,0
25,15,1,2,3,0,3,1,0,4,1,2,0,3,0,0,0,1,4,1
26,25,1,2,6,1,1,2,1,4,0,5,1,4,0,1,1,1,1,1
27,15,2,2,6,1,3,4,1,4,1,3,0,4,1,1,0,0,3,0
28,23,0,0,0,1,5,4,0,0,2,4,0,1,1,1,1,1,4,0
29,25,2,1,3,1,10,5,1,4,2,2,0,1,2,0,1,0,0,0
30,16,3,1,1,1,6,5,0,4,0,1,0,1,2,1,1,0,1,1
31,12,0,0,5,0,0,5,0,2,0,3,0,5,0,0,0,1,2,1
32,22,1,1,0,0,8,3,1,2,2,4,0,2,1,1,2,0,3,1
33,18,3,2,0,0,8,3,1,5,0,3,0,5,0,1,1,0,3,1
34,15,1,0,3,0,4,4,0,2,1,5,1,1,2,1,0,0,0,1
35,12,1,2,4,0,1,1,0,5,1,2,1,4,1,0,1,1,1,1
36,15,1,0,6,1,3,5,1,1,0,4,0,5,0,0,0,1,2,0
37,30,1,2,4,1,6,1,0,3,0,3,1,5,1,1,2,0,2,0
38,12,3,2,0,1,7,5,0,6,2,5,0,5,0,0,1,1,5,0
39,29,0,1,0,0,4,4,0,2,1,3,1,3,1,1,0,0,1,0
40,16,3,2,2,0,8,5,1,0,0,5,1,5,0,1,1,0,5,0
41,26,0,1,1,1,7,3,0,6,0,1,0,2,1,0,1,1,1,0
42,28,0,2,0,0,0,3,0,6,1,3,1,4,2,0,2,1,0,1
43,15,1,0,6,0,2,2,1,2,0,1,0,2,2,0,1,0,5,1
44,30,2,1,2,1,0,5,1,1,0,1,0,2,0,0,1,1,1,0
45,26,0,2,3,1,0,5,1,4,1,3,0,5,2,1,2,0,4,0
46,26,0,0,0,1,6,4,1,0,0,3,1,3,0,1,1,0,1,1
47,19,1,1,6,1,10,4,1,5,2,1,0,4,2,0,1,0,1,0
48,15,0,0,4,1,6,1,1,6,0,1,1,1,1,1,2,0,1,1
49,23,0,0,0,0,4,5,1,0,2,3,0,2,1,1,2,0,2,1
50,14,3,2,4,0,9,5,1,2,1,4,1,1,1,1,0,1,3,1
51,18,2,0,1,0,6,3,1,5,1,5,0,2,0,0,2,0,5,1
52,28,0,1,0,0,9,1,0,4,1,5,1,5,0,1,2,0,5,0
53,26,2,1,1,1,7,2,0,6,1,3,0,4,2,1,1,1,3,1
54,29,1,0,5,0,9,5,1,5,0,4,1,5,2,0,0,0,4,0
55,14,1,2,0,0,2,3,0,5,0,2,1,2,0,0,2,0,5,1
56,25,0,1,1,1,2,3,0,4,2,4,1,1,0,1,1,1,5,0
57,24,2,1,4,1,8,5,0,3,0,4,1,4,1,1,2,1,3,0
58,25,1,1,4,0,5,2,0,5,0,4,0,4,1,0,1,0,4,0
59,30,1,1,6,1,0,2,1,6,2,2,0,4,0,1,0,1,4,1
60,23,0,1,0,1,3,2,1,1,0,1,0,4,1,0,2,0,0,1
61,14,1,0,6,1,3,5,1,0,0,1,0,4,2,0,2,1,3,0
62,25,1,2,6,1,10,2,1,4,1,3,1,1,1,0,1,1,4,1
63,20,2,1,2,0,9,5,1,6,0,2,0,4,0,1,1,0,0,1
64,24,3,1,2,0,9,5,1,1,0,2,1,5,2,1,2,1,2,1
65,19,1,0,4,1,5,1,0,1,1,3,1,1,0,0,0,0,5,1
66,16,2,1,1,1,2,1,1,6,0,3,0,3,1,1,2,1,0,1
67,22,2,1,0,0,4,5,1,1,2,4,0,3,1,1,1,0,2,1
68,16,3,0,5,0,3,3,0,4,0,3,1,1,0,0,2,0,5,1
69,27,2,1,6,1,6,2,1,6,0,1,0,1,1,0,2,1,0,0
70,29,1,1,1,0,1,2,0,6,0,5,1,4,0,1,2,0,1,1
71,20,0,1,6,0,7,4,1,0,0,3,1,2,0,0,1,0,0,0
72,23,1,2,0,0,3,3,0,1,2,2,0,5,0,1,0,0,2,1
73,17,3,1,6,1,3,1,1,0,0,4,1,1,0,1,2,1,0,1
74,19,0,1,1,0,9,2,0,2,1,5,0,1,2,0,1,0,0,0
75,17,3,1,2,1,9,1,1,1,2,5,1,5,2,0,1,0,4,1
76,30,2,1,0,0,9,1,0,2,0,4,1,1,2,0,2,0,2,1
77,20,1,1,6,1,7,5,1,3,2,2,0,4,0,1,0,1,0,0
78,20,3,0,6,1,0,5,1,4,0,3,1,1,1,0,0,1,3,0
79,18,2,1,6,1,1,3,0,1,0,5,1,1,0,0,2,1,4,0
80,23,0,0,3,1,2,3,1,3,0,1,1,5,0,0,2,1,5,0
81,30,2,2,4,0,7,5,1,0,2,3,1,2,0,1,0,0,2,0
82,30,2,2,4,0,10,4,0,1,0,2,0,3,0,1,0,0,3,1
83,14,2,2,2,0,10,1,1,3,0,5,0,3,1,0,2,0,0,1
84,27,3,1,5,0,10,3,1,2,2,2,0,5,0,0,1,1,2,0
85,23,1,2,2,0,9,4,0,4,1,2,1,5,2,0,2,1,3,0
86,24,2,1,2,0,6,4,1,2,0,1,0,1,2,0,2,1,4,1
87,16,3,2,3,1,2,1,1,0,0,1,0,1,2,0,1,1,5,1
88,23,0,2,1,0,8,3,1,0,0,3,1,4,2,0,0,0,4,1
89,16,3,0,5,1,5,2,1,2,0,3,1,2,1,1,2,0,1,0
90,26,1,0,6,1,2,2,1,5,1,4,0,5,2,0,1,0,5,1
91,30,0,1,3,0,1,5,1,0,1,2,0,3,2,1,1,0,5,0
92,16,2,2,0,1,7,2,1,2,1,2,0,5,1,0,1,1,3,1
93,12,2,0,4,1,6,2,0,6,2,1,1,4,1,1,2,0,5,1
94,13,3,0,6,1,3,5,1,1,2,4,1,1,2,1,0,0,2,1
95,30,3,2,2,0,10,4,0,6,2,1,1,4,1,0,1,1,2,0
96,30,3,0,4,0,5,3,1,5,0,5,0,5,0,1,2,1,1,0
97,15,0,0,2,1,0,1,1,6,1,3,1,1,1,0,2,0,1,0
98,25,2,0,2,0,4,5,1,3,2,5,1,1,2,1,2,1,1,0
99,17,3,2,5,1,7,1,0,4,1,4,0,2,2,0,0,0,0,0
100,29,2,2,1,0,2,5,0,6,0,3,0,2,0,1,2,1,1,0
101,26,0,2,3,0,4,2,1,6,2,3,1,1,1,1,2,1,2,0
102,18,0,1,3,1,2,1,0,0,2,2,1,1,0,1,1,0,0,0
103,21,1,2,5,0,7,3,1,0,2,4,1,1,1,1,2,1,2,1
